id_anonimo,campus,tipo_campus,cargo,classe_cargo,nivel_pretendido,nivel_reconhecido,status
2e7fb273db677645,CH,Capital,Administrador,Classe E,RSC-VI,RSC-VI,Deferido
ced1ea8e280086b2,CN,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
a43435d2d232c454,MC,Interior,Assistente Social,Classe E,RSC-VI,RSC-VI,Deferido
b6221290b4b7037f,JC,Interior,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
b5e2bc0569b4f7be,IP,Interior,Assistente em Administração,Classe D,RSC-VI,RSC-VI,Deferido
6ed470c398cf8d24,MC,Interior,Técnico de Laboratório Area,Classe D,RSC-VI,RSC-VI,Deferido
b2c31dbc050441fa,MO,Interior,Assistente de Laboratório,Classe C,RSC-V,RSC-V,Deferido
923b5ffb9b8627f1,ZL,Capital,Bibliotecário-Documentalista,Classe E,RSC-V,RSC-V,Deferido
a72cbe7b6d43cdde,RE,Capital,Secretario Executivo,Classe E,RSC-VI,RSC-VI,Deferido
e9eba41e39ec7a95,CH,Capital,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
82c9c90b035dfffe,CNAT,Capital,Vigilante,Classe D,RSC-V,RSC-V,Deferido
948a6e31e25160bf,CNAT,Capital,Assistente em Administração,Classe D,RSC-III,RSC-III,Deferido
bf5f0e5f4c07c83b,ZL,Capital,Tradutor e Intérprete de Libras,Classe D,RSC-V,RSC-V,Deferido
9dc487c1a438e78c,IP,Interior,Assistente de Aluno,Classe C,RSC-V,RSC-V,Deferido
39ee7c196e1a5a3a,CNAT,Capital,Assistente em Administração,Classe D,RSC-III,RSC-III,Deferido
1178dc3219946325,CNAT,Capital,Psicólogo,Classe E,RSC-V,RSC-V,Deferido
b21369a41fa4ed03,CNAT,Capital,Odontólogo - 40 Horas,Classe E,RSC-V,RSC-V,Deferido
4b6dbd0a1b4f3d39,CNAT,Capital,Técnico de Laboratório Area,Classe D,RSC-VI,RSC-VI,Deferido
30e81ca28e8ef44c,RE,Capital,Auxiliar de Laboratório,Classe D,RSC-V,RSC-V,Deferido
72927346162e0079,CNAT,Capital,Administrador,Classe E,RSC-VI,RSC-VI,Deferido
14e5076967a84d8b,MO,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
bfd91d5661678535,IP,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
f59496b26375284d,RE,Capital,Auditor,Classe E,RSC-VI,RSC-VI,Deferido
b109e5b0f9471c22,SPP,Interior,Assistente de Aluno,Classe C,RSC-V,RSC-V,Deferido
296ac581ef74f77c,PF,Interior,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
72ab8b8d4609d76a,RE,Capital,Médico,Classe E,RSC-VI,RSC-VI,Deferido
77a18232f7569c95,CANG,Interior,Assistente de Aluno,Classe C,RSC-V,RSC-V,Deferido
93eda722e74b2a4b,SGA,Interior,Assistente em Administração,Classe D,RSC-V,RSC-V,Deferido
47d9d299ff224952,RE,Capital,Auxiliar em Administração,Classe C,RSC-V,RSC-V,Deferido
1aa5f5faac0ee034,ZL,Capital,Administrador,Classe E,RSC-VI,RSC-VI,Deferido
bd358a5547d9f6ee,NC,Interior,Bibliotecário-Documentalista,Classe E,RSC-V,RSC-V,Deferido
f029fafef374258a,CNAT,Capital,Assistente Social,Classe E,RSC-VI,RSC-VI,Deferido
