id_anonimo,cargo,lotacao,tipo_campus
312,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/CA,Interior
313,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/PAR,Interior
314,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,RE,Capital
315,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/PAR,Interior
316,TECNICO EM ELETROTECNICA (PCIFE) - 701230,DG/MO,Interior
317,SERVENTE DE LIMPEZA (PCIFE) - 701823,DG/CNAT,Capital
318,TECNOLOGO-FORMACAO (PCIFE) - 701081,RE,Capital
319,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,CSGA,Interior
320,TEC DE TECNOLOGIA DA INFORMACAO (PCIFE) - 701226,DG/JC,Interior
321,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/AP,Interior
322,TRADUTOR INTERPRETE DE LINGUAGEM SINAIS (PCIFE) - 701266,DG/JC,Interior
323,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/AP,Interior
324,TECNICO EM AUDIOVISUAL (PCIFE) - 701221,RE,Capital
325,TEC DE TECNOLOGIA DA INFORMACAO (PCIFE) - 701226,DG/SC,Interior
326,SECRETARIO EXECUTIVO (PCIFE) - 701076,RE,Capital
327,ODONTOLOGO - 40 HORAS (PCIFE) - 701064,DG/CNAT,Capital
328,TRADUTOR INTERPRETE DE LINGUAGEM SINAIS (PCIFE) - 701266,CSGA,Interior
329,TECNICO EM ELETROTECNICA (PCIFE) - 701230,DG/LAJ,Interior
330,BIBLIOTECARIO-DOCUMENTALISTA (PCIFE) - 701010,DG/MO,Interior
331,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/AP,Interior
332,AUX EM ADMINISTRACAO (PCIFE) - 701405,DG/ZN,Capital
333,ENGENHEIRO-AREA (PCIFE) - 701031,CM,Interior
334,AUX EM ADMINISTRACAO (PCIFE) - 701405,DG/JC,Interior
335,PSICOLOGO-AREA (PCIFE) - 701060,DG/CNAT,Capital
336,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/CNAT,Capital
337,TECNICO DE LABORATORIO AREA (PCIFE) - 701244,DG/MO,Interior
338,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/JC,Interior
339,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,DG/AP,Interior
340,ASSISTENTE EM ADMINISTRACAO (PCIFE) - 701200,RE,Capital
341,PEDAGOGO-AREA (PCIFE) - 701058,DG/CNAT,Capital
342,MEDICO VETERINARIO - PCCTAE (PCMED) - 647002,DG/IP,Interior
343,ENGENHEIRO DE SEG DO TRABALHO (PCIFE) - 701032,RE,Capital
344,PSICOLOGO-AREA (PCIFE) - 701060,CM,Interior
